"Year","LEA","LEA Name","PublicSeniorInstitutions","PrivateSeniorInstitutions","CommunityTechnicalCollege","PrivateJuniorInstitutions","TradeBusinessNursing","Other","Total"
"2022","690","Pamlico County Schools","        12","         8","        64","-","*","        32","       117"
"2022","69A","Arapahoe Charter School","-","*","        13","-","-","         7","        21"
"2022","700","Elizabeth City-Pasquotank Public Schools","       125","        14","        77","-","*","        55","       272"
"2022","70A","Northeast Academy of Aerospace & AdvTech","-","-","        43","-","-","-","        43"
"2022","710","Pender County Schools","       186","        29","       293","*","-","       168","       677"
"2022","720","Perquimans County Schools","        51","*","        34","-","-","        25","       114"
"2022","730","Person County Schools","        57","        15","       104","-","*","        91","       271"
"2022","73B","Roxboro Community School","        25","         7","        28","-","*","        17","        81"
"2022","740","Pitt County Schools","       561","        45","       624","*","         9","       279","     1,521"
"2022","750","Polk County Schools","        43","        10","        49","-","-","        48","       150"
"2022","760","Randolph County School System","       209","        69","       417","*","        24","       306","     1,027"
"2022","761","Asheboro City Schools","        58","        18","       113","*","*","        68","       260"
"2022","76A","Uwharrie Charter Academy","        34","        16","        49","-","*","        34","       137"
"2022","770","Richmond County Schools","        85","        37","       117","*","        18","       183","       443"
"2022","780","Public Schools of Robeson County","       525","        21","       368","*","*","       348","     1,264"
"2022","790","Rockingham County Schools","       172","        30","       245","*","*","       253","       702"
"2022","79A","Bethany Community School","         8","*","        14","-","*","        14","        40"
"2022","800","Rowan-Salisbury Schools","       265","       105","       390","-","*","       530","     1,294"
"2022","810","Rutherford County Schools","       128","        35","       261","-","         5","       119","       548"
"2022","81A","Thomas Jefferson Classical Academy","        51","        18","         6","-","-","         5","        80"
"2022","81B","Lake Lure Classical Academy","         6","         7","        15","-","-","         9","        37"
"2022","820","Sampson County Schools","       105","        36","       184","*","        10","       157","       493"
"2022","821","Clinton City Schools","        65","*","        53","-","*","        48","       169"
"2022","830","Scotland County Schools","       118","        13","        63","-","*","       169","       364"
"2022","840","Stanly County Schools","       108","        62","       212","*","*","       159","       544"
"2022","84B","Gray Stone Day School","        51","        18","        15","-","-","         5","        89"
"2022","850","Stokes County Schools","        72","        29","       215","-","        10","       116","       442"
"2022","860","Surry County Schools","       116","        41","       197","*","         9","       132","       496"
"2022","861","Elkin City Schools","        28","*","        28","-","-","         8","        67"
"2022","862","Mount Airy City Schools","        37","        12","        51","-","-","        31","       131"
"2022","86T","Millennium Charter Academy","         7","*","         6","-","-","*","        19"
"2022","870","Swain County Schools","        26","         8","        35","-","*","        53","       123"
"2022","880","Transylvania County Schools","        50","        21","       120","-","-","        80","       271"
"2022","890","Tyrrell County Schools","         8","*","        22","-","*","        12","        46"
